year,country,historical_name,transition_group,team_score,total_medals,avg_score,best_rank,transition_status
1961,Japan,Japan,No Change,143,5,23.833333333333332,4,Stable
1961,Kazakhstan,Kazakhstan,No Change,127,5,21.166666666666668,59,Stable
1961,Kenya,Kenya,No Change,7,0,1.4,533,Stable
1961,Kosovo,Kosovo,No Change,48,0,8,434,Stable
1961,Kyrgyzstan,Kyrgyzstan,No Change,122,4,20.333333333333332,47,Stable
1961,Latvia,Latvia,No Change,87,2,14.5,182,Stable
1961,Liechtenstein,Liechtenstein,No Change,14,0,14,366,Stable
1961,Lithuania,Lithuania,No Change,94,3,18.8,11,Stable
1961,Luxembourg,Luxembourg,No Change,60,1,10,283,Stable
1961,Macau,Macau,No Change,56,0,9.333333333333334,366,Stable
1961,Malaysia,Malaysia,No Change,118,6,19.666666666666668,59,Stable
1961,Mexico,Mexico,No Change,129,5,21.5,19,Stable
1961,Mongolia,Mongolia,No Change,142,6,23.666666666666668,47,Stable
1961,Myanmar,Myanmar,No Change,30,0,5,457,Stable
1961,Nepal,Nepal,No Change,28,0,4.666666666666667,425,Stable
1961,Netherlands,Netherlands,No Change,109,5,18.166666666666668,59,Stable
1961,New Zealand,New Zealand,No Change,120,6,20,125,Stable
1961,Nicaragua,Nicaragua,No Change,16,1,16,283,Stable
1961,North Macedonia,North Macedonia,No Change,107,3,17.833333333333332,19,Stable
1961,Norway,Norway,No Change,85,3,14.166666666666666,238,Stable
1961,Oman,Oman,No Change,4,0,0.6666666666666666,551,Stable
1961,Pakistan,Pakistan,No Change,64,2,10.666666666666666,100,Stable
1961,Panama,Panama,No Change,10,0,10,434,Stable
1961,Paraguay,Paraguay,No Change,20,0,5,434,Stable
1961,People's Republic of China,People's Republic of China,No Change,190,6,31.666666666666668,1,Stable
1961,Peru,Peru,No Change,122,5,20.333333333333332,59,Stable
1961,Philippines,Philippines,No Change,102,4,17,100,Stable
1961,Poland,Poland,No Change,151,6,25.166666666666668,19,Stable
1961,Portugal,Portugal,No Change,71,1,11.833333333333334,283,Stable
1961,Puerto Rico,Puerto Rico,No Change,18,0,6,457,Stable
1961,Republic of Korea,Republic of Korea,No Change,168,6,28,5,Stable
1961,Republic of Moldova,Republic of Moldova,No Change,84,3,16.8,125,Stable
1961,Romania,Romania,No Change,145,6,24.166666666666668,47,Stable
1961,Rwanda,Rwanda,No Change,39,0,6.5,366,Stable
1961,Saudi Arabia,Saudi Arabia,No Change,111,5,18.5,100,Stable
1961,Serbia,Serbia,No Change,132,5,22,59,Stable
1961,Singapore,Singapore,No Change,162,6,27,14,Stable
1961,Slovakia,Slovakia,No Change,116,5,19.333333333333332,29,Stable
1961,Slovenia,Slovenia,No Change,92,2,15.333333333333334,100,Stable
1961,South Africa,South Africa,No Change,93,3,15.5,147,Stable
1961,Spain,Spain,No Change,80,2,13.333333333333334,227,Stable
1961,Sri Lanka,Sri Lanka,No Change,71,2,11.833333333333334,283,Stable
1961,Sweden,Sweden,No Change,102,4,17,147,Stable
1961,Switzerland,Switzerland,No Change,106,2,17.666666666666668,29,Stable
1961,Syria,Syria,No Change,64,1,10.666666666666666,283,Stable
1961,Taiwan,Taiwan,No Change,149,6,24.833333333333332,29,Stable
1961,Tajikistan,Tajikistan,No Change,80,2,13.333333333333334,182,Stable
1961,Thailand,Thailand,No Change,116,4,19.333333333333332,100,Stable
1961,Trinidad and Tobago,Trinidad and Tobago,No Change,37,0,7.4,327,Stable
1961,Tunisia,Tunisia,No Change,67,1,11.166666666666666,238,Stable
1961,Turkmenistan,Turkmenistan,No Change,107,4,17.833333333333332,125,Stable
1961,Türkiye,Türkiye,No Change,151,6,25.166666666666668,13,Stable
1961,Uganda,Uganda,No Change,22,0,3.6666666666666665,475,Stable
1961,Ukraine,Ukraine,No Change,113,5,18.833333333333332,125,Stable
1961,United Arab Emirates,United Arab Emirates,No Change,1,0,0.25,565,Stable
1961,United Kingdom,United Kingdom,No Change,162,6,27,5,Stable
1961,United States of America,United States of America,No Change,192,6,32,3,Stable
1961,Uruguay,Uruguay,No Change,48,0,8,327,Stable
1961,Uzbekistan,Uzbekistan,No Change,110,5,18.333333333333332,100,Stable
